                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.88603,                0.76766,                 1.0593,                0.91695,                0.43015,                0.50195,                  0.312,                 1.3892,                0.88712,                0.93496,             0.00049214,             0.00049214,             0.00049214
                    126,                 1.1925,                 1.1345,                 1.4438,                0.93099,                0.42949,                 0.5065,                0.31579,                 1.3192,                0.86495,                 0.8999,             0.00048939,             0.00048939,             0.00048939
                    127,                 1.1435,                 0.7996,                0.98756,                0.93099,                0.42949,                 0.5065,                0.31579,                 1.3192,                0.86495,                 0.8999,             0.00048664,             0.00048664,             0.00048664
                    128,                0.91537,                0.74303,                0.94528,                0.92563,                0.44872,                0.49396,                0.29922,                 1.3408,                0.85873,                0.89695,             0.00048389,             0.00048389,             0.00048389
                    129,                0.88964,                0.73271,                 1.1674,                0.92563,                0.44872,                0.49396,                0.29922,                 1.3408,                0.85873,                0.89695,             0.00048114,             0.00048114,             0.00048114
                    130,                 1.0163,                0.97069,                 1.1649,                0.93581,                0.44299,                0.49006,                 0.2951,                 1.4013,                0.87481,                0.91589,             0.00047839,             0.00047839,             0.00047839
                    131,                 1.0002,                0.81916,                 1.1584,                0.93581,                0.44299,                0.49006,                 0.2951,                 1.4013,                0.87481,                0.91589,             0.00047564,             0.00047564,             0.00047564
                    132,                 1.0694,                0.82076,                 1.2374,                0.95081,                 0.4359,                0.49665,                 0.2958,                 1.4495,                0.86081,                0.94125,             0.00047289,             0.00047289,             0.00047289
                    133,                 1.0526,                 1.0177,                 1.2213,                0.95081,                 0.4359,                0.49665,                 0.2958,                 1.4495,                0.86081,                0.94125,             0.00047015,             0.00047015,             0.00047015
                    134,                0.94293,                0.80904,                 1.1938,                 0.9544,                0.41026,                0.48211,                0.29128,                 1.3825,                0.90394,                0.92349,              0.0004674,              0.0004674,              0.0004674
                    135,                0.95741,                0.93193,                  1.158,                 0.9544,                0.41026,                0.48211,                0.29128,                 1.3825,                0.90394,                0.92349,             0.00046465,             0.00046465,             0.00046465
                    136,                0.93611,                0.73217,                 0.9741,                0.93006,                0.41026,                0.46377,                0.27329,                 1.3825,                0.93688,                0.90554,              0.0004619,              0.0004619,              0.0004619
